"Time","spin"
2026-03-27 17:43:00.000,NaN
2026-03-27 17:43:03.000,NaN
2026-03-27 17:43:06.000,NaN
2026-03-27 17:43:09.000,NaN
2026-03-27 17:43:12.000,NaN
2026-03-27 17:43:15.000,NaN
2026-03-27 17:43:18.000,NaN
2026-03-27 17:43:21.000,3.96 ms
2026-03-27 17:43:24.000,4.12 ms
2026-03-27 17:43:27.000,1.85 ms
2026-03-27 17:43:30.000,1.04 ms
2026-03-27 17:43:33.000,1.89 ms
2026-03-27 17:43:36.000,2.64 ms
2026-03-27 17:43:39.000,NaN
2026-03-27 17:43:42.000,NaN
2026-03-27 17:43:45.000,NaN